x,y,z
-44.35769704683611,12.02751852349489,3.0
-44.0480582996661,11.052438068924488,3.0
-43.82997518764728,10.040318801460927,3.0
-43.805980619440945,12.763450215915862,3.0
-43.64009891951169,13.495360470917287,3.0
-43.57726782383305,9.058412146436396,3.0
-43.06580742154253,8.637161379528074,3.0
-42.44966612856037,9.478010138056305,3.0
-41.94758824733262,10.386402658870253,3.0
-41.26983913757458,11.170495755819974,3.0
-40.55542879821017,11.930874099980826,3.0
-40.266975113322026,13.466637846457694,3.0
-39.897886701562136,12.732103309588885,3.0
-39.38303145751546,13.44934316898601,3.0
-39.245406677314605,-22.02858844981555,4.0
-38.6491183949022,-21.35162922592135,4.0
-38.37514176638376,13.405634919619608,3.0
-38.1182954991657,-20.62535050178289,4.0
-37.71263512610806,-19.81832600854092,4.0
-37.49034049377258,13.052538213555977,3.0
-37.35201455944002,-18.990074606112998,4.0
-37.04345992142577,-18.14015363516957,4.0
-36.70266084410173,-17.30310760494666,4.0
-36.580753868124276,12.66877726908503,3.0
-36.53319565875479,-11.958815077576219,4.0
-36.52436841081299,-16.41833978849492,4.0
-36.406428725550754,-11.09173971293676,4.0
-36.38134531216448,-15.527364271674372,4.0
-36.314976259364066,-13.727992902192241,4.0
-36.29467900761638,-14.631796922622591,4.0
-36.2940984690667,-12.824534301759869,4.0
-35.67804805875045,-38.36882592545499,4.0
-35.673131583541846,-11.003852073477864,4.0
-35.604791651682376,12.299283265195175,3.0
-34.95828875555303,-38.91504938404578,4.0
-34.84396276681603,-11.331772733352647,4.0
-34.70357750029944,11.85389319542392,3.0
-34.19821528439442,-39.401491346350284,4.0
-34.06937058144925,12.135651258124312,3.0
-34.05284685083747,-11.76021016088812,4.0
-33.93267883883898,13.16376977207139,3.0
-33.6454156262318,33.21104942229567,3.0
-33.52631036796463,31.155127182286208,3.0
-33.479411176629526,-39.919946539703915,4.0
-33.43492706481396,30.11687307577742,3.0
-33.43187544458704,32.19296069150903,3.0
-33.387206163676105,14.034962109355083,3.0
-33.33869231584448,33.53867413758343,4.0
-33.211373517024334,29.10075421978243,3.0
-33.201065352623615,-11.791952700394624,4.0
-33.070308378137,28.068277914520735,3.0
-33.04410161921343,32.688504250533924,4.0
-33.0231062666595,30.940906222245275,4.0
-32.9873097306766,26.006560756300217,3.0
-32.95689809886212,27.043819993926746,3.0
-32.92332578366115,31.81500337166851,4.0
-32.89971297670749,30.045688247993326,4.0
-32.83263101101785,29.144188496000652,4.0
-32.780482011372726,-40.46310390500755,4.0
-32.76342351767339,28.244030354102264,4.0
-32.72703369959779,25.007274655801453,3.0
-32.705948623553695,14.683255225024874,3.0
-32.65860109824097,21.92371791141082,3.0
-32.58042373837917,19.865901659644464,3.0
-32.554445188884856,15.71541568660922,3.0
-32.551097149185914,20.90874056615391,3.0
-32.539043057054386,18.82722772645917,3.0
-32.52526407538167,23.98913340668298,3.0
-32.501258502841594,22.947248333785694,3.0
-32.479368479543865,17.79602636123704,3.0
-32.477694989355726,16.75405213754169,3.0
-32.44837584309072,-41.29867766318449,4.0
-32.412403180414486,26.546471187090305,4.0
-32.38829830954325,-12.16374995749219,4.0
-32.38081132692894,27.430680515159864,4.0
-32.32648419548079,25.652672363270916,4.0
-32.147657698798234,-42.1471160793302,4.0
-31.98921063550628,24.823555291660483,4.0
-31.967556098190933,-43.03314737436836,4.0
-31.892460857846295,23.925600024172837,4.0
-31.785255736085432,23.038214887375087,4.0
-31.74489294879117,-43.90903368842513,4.0
-31.577216835208958,-12.557142733442966,4.0
